node_id	node_name	node_type	compartment_id	celltype	confidence	rule	evidence	plausibility_score	source
20525	IFNAR2	Protein	20513	M1	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	75	HPA Uhlén 2015; Reactome:R-HSA-909733
20525	IFNAR2	Protein	20513	M2	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	75	HPA Uhlén 2015; Reactome:R-HSA-909733
20525	IFNAR2	Protein	20513	PDC	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	75	HPA Uhlén 2015; Reactome:R-HSA-909733
20525	IFNAR2	Protein	20513	PLASMA	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	75	HPA Uhlén 2015; Reactome:R-HSA-909733
20525	IFNAR2	Protein	20513	SGEC	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	75	HPA Uhlén 2015; Reactome:R-HSA-909733
20525	IFNAR2	Protein	20513	TFH	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	75	HPA Uhlén 2015; Reactome:R-HSA-909733
20525	IFNAR2	Protein	20513	TH1	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	75	HPA Uhlén 2015; Reactome:R-HSA-909733
20525	IFNAR2	Protein	20513	TH17	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	75	HPA Uhlén 2015; Reactome:R-HSA-909733
20525	IFNAR2	Protein	20513	TREG	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	75	HPA Uhlén 2015; Reactome:R-HSA-909733
20526	dsRNA	Simple molecule	20513	BCELL	LOW	R5	neighbors_vote={'M1': 2, 'PDC': 2, 'M2': 2, 'TH1': 2, 'TH17': 2}	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20526	dsRNA	Simple molecule	20513	M1	LOW	R5	neighbors_vote={'M1': 2, 'PDC': 2, 'M2': 2, 'TH1': 2, 'TH17': 2}	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20526	dsRNA	Simple molecule	20513	M2	LOW	R5	neighbors_vote={'M1': 2, 'PDC': 2, 'M2': 2, 'TH1': 2, 'TH17': 2}	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20526	dsRNA	Simple molecule	20513	PDC	LOW	R5	neighbors_vote={'M1': 2, 'PDC': 2, 'M2': 2, 'TH1': 2, 'TH17': 2}	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20526	dsRNA	Simple molecule	20513	PLASMA	LOW	R5	neighbors_vote={'M1': 2, 'PDC': 2, 'M2': 2, 'TH1': 2, 'TH17': 2}	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20526	dsRNA	Simple molecule	20513	SGEC	LOW	R5	neighbors_vote={'M1': 2, 'PDC': 2, 'M2': 2, 'TH1': 2, 'TH17': 2}	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
