reaction_id	reaction_type	reactants	products	modifiers
re36	State transition	21158:NFKB1/RELA	20987:NFKB1/RELA	20519:NFKBIA;20589:TNFAIP3;20714:CHUK/IKBKB/IKBKG;20884:PRMT5;21520:NFKB1
re343	Heterodimer association	20855:CCR6;21616:CCL20	20873:CCL20/CCR6	
re200	Transcription	21510:IRF1	21531:IRF1	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re229	Physical stimulation	21062:HLA-DQA1	21548:MHC_Class_2_Activation	
re530	State transition	21466:HNRNPA2B1	20515:HNRNPA2B1	
re790	Negative influence	21320:CDKN1A	21552:Apoptosis	
re791	Negative influence	21363:SESN1	21552:Apoptosis	
re620	State transition	21382:CD40	20718:CD40	
re800	State transition	21030:MARCHF8	20598:MARCHF8	20588:BST2
re677	Physical stimulation	21065:FCGR1BP	21541:Inflammation	
re533	State transition	21507:PSME2	21217:PSME2	
re64	State transition	20806:TRAF3	20929:TRAF3	20561:TICAM1;21014:MAVS
re155	Transcription	21235:IFI6	21264:IFI6	21485:STAT1/STAT2/IRF9
re795	State transition	20828:RIPK1	21197:RIPK1	20561:TICAM1;20780:EIF2AK2 homodimer;21005:TRAIL/TRAILR
re621	Heterodimer association	20702:IL1R1;21584:IL1	21109:IL1R	
re273	State transition	21298:MT2A	21156:MT2A	
re143	Transcription	21395:RSAD2	21405:RSAD2	20655:TLR3/dsRNA/PolyIC;20884:PRMT5;20943:TLR7/ssRNA;20956:CD40LG/CD40;21485:STAT1/STAT2/IRF9
re85	State transition	21083:STAT1	20569:STAT1 homodimer	
re902	State transition	21144:STAT3	21029:STAT3 homodimer	
re164	State transition	21420:IP6K2	21073:IP6K2	
re564	State transition	21191:MAP2K1	20992:MAP2K1	20804:RAF
re159	Transcription	21473:HLA-A	21376:HLA-A	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re762	State transition	21279:TNFRSF10A	21067:TNFRSF10A,B	
re759	State transition	21269:XIAP	20764:XIAP	
re765	Transcription	21471:SHISA5	21439:SHISA5	21233:TP53
re756	State transition	21306:CFLAR	21224:CFLAR	
re841	State transition	21312:HLA-DQA2	21010:HLA-DQA2	
re286	Transport	20780:EIF2AK2 homodimer	20879:EIF2AK2 homodimer	
re135	Transcription	21436:IP6K2	21420:IP6K2	21485:STAT1/STAT2/IRF9
re503	Transcription	21289:IL17A	21254:IL17A	21272:RELA/NFKB1;21294:STAT3 homodimer
re848	State transition	21307:IFI27	20645:IFI27	
re460	Transcription	21340:IKBIP	21537:IKBIP	21233:TP53
re207	State transition	21317:IRF9	20649:IRF9	
re16	Heterodimer association	20674:TNFRSF13C;21563:TNFSF13B	20679:BAFF/BAFFR	
re803	State transition	21502:ETS1	21152:ETS1	
re768	Transcription	21425:CD82	21374:CD82	21233:TP53
re580	Heterodimer association	20758:LILRA3;21612:MHC1/B2M	20919:MHC1/B2M/LILR	
re245	Transcription	21422:TRIM25	21283:TRIM25	21240:STAT1 homodimer
re158	Transcription	21521:EIF2AK2	21454:EIF2AK2	21485:STAT1/STAT2/IRF9
re417	Heterodimer association	20585:ITGA4/ITGB1;21556:VCAM1	21123:VCAM/ITGA4/ITGB1	
re681	Transport	20854:IRF5	21394:IRF5	
re408	Heterodimer association	20610:TNFRSF13B;21581:TNFSF13	20946:BAFF-APRIL/TACI	
re7	Transport	21047:STAT1/STAT2/IRF9	21485:STAT1/STAT2/IRF9	21018:KPNB1
re175	State transition	21383:IFIT3	21057:IFIT3	
re147	Transcription	21424:IFIT5	21282:IFIT5	21485:STAT1/STAT2/IRF9
re266	State transition	21281:TRIM34	21091:TRIM34	
re784	State transition	21299:GBP1	20626:GBP1	
re228	Physical stimulation	20757:HLA-DRA	21548:MHC_Class_2_Activation	
re139	Transcription	21347:OAS1	21402:OAS1	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re261	State transition	21348:TRIM6	21142:TRIM6	
re338	Heterodimer association	20795:CXCR4;21604:CXCL12	20631:CXCL12/CXCR4	
re243	Transcription	21511:TRIM21	21539:TRIM21	20655:TLR3/dsRNA/PolyIC;21240:STAT1 homodimer
re265	State transition	21283:TRIM25	20666:TRIM25	
re761	Transcription	21453:TNFRSF10A	21279:TNFRSF10A	21233:TP53
re846	State transition	21524:HLA-C	20996:HLA-C	
